City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aesch,47.471,7.5973,281.0,75,100,1.03,CH,1701093964
83,jamestown,42.097,-79.2353,274.57,92,100,10.29,US,1701093717
84,margaret river,-33.95,115.0667,290.88,84,92,3.18,AU,1701093810
85,ghat,24.9647,10.1728,299.52,10,0,1.54,LY,1701093965
86,wailua homesteads,22.0669,-159.378,296.59,89,75,6.17,US,1701093809
87,duyun,26.2667,107.5167,285.74,69,0,0.77,CN,1701093965
88,kingston,17.997,-76.7936,301.04,74,20,2.57,JM,1701093647
89,invercargill,-46.4,168.35,284.83,95,100,1.79,NZ,1701093773
90,zaozersk,69.4005,32.4476,260.27,85,79,1.68,RU,1701093890
91,kudahuvadhoo,2.6708,72.8944,301.02,72,93,0.68,MV,1701093779
92,tulun,54.5611,100.5792,254.47,97,99,1.24,RU,1701093966
93,gobabis,-22.45,18.9667,307.59,14,97,5.24,NA,1701093966
94,cascais,38.6979,-9.4215,290.91,86,75,6.26,PT,1701093967
95,ringim,12.1548,9.1619,309.1,13,100,4.68,NG,1701093967
96,puerto palomas,31.7667,-107.6167,279.55,53,100,1.46,MX,1701093967
97,usinsk,65.9939,57.5281,255.97,93,100,3.13,RU,1701093840
98,rabaul,-4.1967,152.1721,300.32,80,33,1.66,PG,1701093968
99,west island,-12.1568,96.8225,300.14,74,40,7.2,CC,1701093772
100,qaqortoq,60.7167,-46.0333,262.26,78,15,3.7,GL,1701093784
101,broome,42.2506,-75.833,277.98,93,100,6.69,US,1701093968
102,ataq,14.5377,46.8319,299.52,21,20,6.45,YE,1701093968
103,olyokminsk,60.3736,120.4264,257.2,93,100,4.04,RU,1701093893
104,bengkulu,-3.8004,102.2655,297.17,93,100,1.5,ID,1701093969
105,colonia,50.9333,6.95,278.18,90,75,5.14,DE,1701093751
106,isafjordur,66.0755,-23.124,278.17,75,100,4.63,IS,1701093773
107,batang,-6.4846,110.7083,300.51,77,67,2.3,ID,1701093969
108,issia,6.4922,-6.5856,302.26,63,88,0.35,CI,1701093969
109,putian,25.4394,119.0103,289.78,79,0,1.78,CN,1701093970
110,mirny,62.5353,113.9611,257.82,92,100,4.04,RU,1701093880
111,plouzane,48.3833,-4.6167,285.18,97,75,7.2,FR,1701093970
112,polyarnyy,69.1989,33.4478,259.19,88,55,2.85,RU,1701093970
113,nuuk,64.1835,-51.7216,271.49,64,75,6.69,GL,1701093811
114,saint-philippe,-21.3585,55.7679,299.92,79,51,3.23,RE,1701093971
115,remire-montjoly,4.9167,-52.2667,304.17,70,75,5.66,GF,1701093839
116,ratne,51.6683,24.5303,269.17,71,22,5.6,UA,1701093971
117,hithadhoo,-0.6,73.0833,301.39,73,50,2.17,MV,1701093821
118,gadzhiyevo,69.2551,33.3362,259.42,87,60,2.62,RU,1701093789
